SECTION,ROW,SEAT#,Position X,Position Y,Position Z,X_Axis,Y_Axis,Z_AXIS,Xsquare,Ysquare,Zsquare,Distance,coord,angle,Distance Score,Seat Score,Sales,Price per Seat,Customer 
SEC_213,ROW_L,SEAT_08,"-175'-9 7/8""","8'-8 13/16""","39'-5 7/16""",-175.8229167,8.734375,39.453125,30913.69803,76.28930664,1556.549072,180.4065864,"(-175.82291669999998, 8.734375)",0.0316,0.083298579,0.05744929,Open,,
SEC_201,ROW_D,SEAT_01,"156'-6 7/8""","8'-6 9/16""","28'-11 7/16""",156.5729167,8.546875,28.953125,24515.07823,73.04907227,838.2834473,159.4566109,"(156.57291669999998, 8.546875)",0.0347,0.228497458,0.131598729,Open,,
SEC_201,ROW_F,SEAT_01,"162'-0 7/8""","8'-6 1/2""","31'-11 7/16""",162.0729167,8.541666667,31.953125,26267.63032,72.96006944,1021.002197,165.413399,"(162.07291669999998, 8.541666667000001)",0.0336,0.187212496,0.110406248,Open,,
SEC_201,ROW_G,SEAT_01,"164'-9 7/8""","8'-6 1/2""","33'-5 7/16""",164.8229167,8.541666667,33.453125,27166.59386,72.96006944,1119.111572,168.4003132,"(164.82291669999998, 8.541666667000001)",0.033,0.166510964,0.099755482,Open,,
SEC_201,ROW_M,SEAT_02,"178'-7 5/8""","8'-6 7/16""","40'-11 7/16""",178.6354167,8.536458333,40.953125,31910.61209,72.87112088,1677.158447,183.4683669,"(178.63541669999998, 8.536458332999999)",0.0304,0.062078168,0.046239084,Open,,
SEC_213,ROW_M,SEAT_09,"-178'-7 5/8""","8'-6 7/16""","40'-11 7/16""",-178.6354167,8.536458333,40.953125,31910.61209,72.87112088,1677.158447,183.4683669,"(-178.63541669999998, 8.536458332999999)",0.0304,0.062078168,0.046239084,Open,,
SEC_201,ROW_K,SEAT_01,"173'-0 7/8""","8'-6 1/4""","37'-11 7/16""",173.0729167,8.520833333,37.953125,29954.23448,72.60460069,1440.439697,177.390188,"(173.07291669999998, 8.520833332999999)",0.0313,0.104204459,0.06775223,Open,,
SEC_201,ROW_J,SEAT_01,"170'-3 7/8""","8'-6 3/16""","36'-5 7/16""",170.3229167,8.515625,36.453125,29009.89594,72.51586914,1328.830322,174.3881938,"(170.32291669999998, 8.515625)",0.0318,0.125010507,0.078405254,Open,,
SEC_201,ROW_L,SEAT_01,"175'-9 7/8""","8'-5 3/4""","39'-5 7/16""",175.8229167,8.479166667,39.453125,30913.69803,71.89626736,1556.549072,180.3944106,"(175.82291669999998, 8.479166667000001)",0.0307,0.083382967,0.057041484,Open,,
SEC_126,ROW_J,SEAT_13,"126'-0 5/16""","8'-5 3/16""","10'-10 1/2""",126.0260417,8.432291667,10.875,15882.56318,71.10354275,118.265625,126.7751251,"(126.02604170000001, 8.432291667000001)",0.0426,0.455004411,0.248802206,Open,,
SEC_126,ROW_K,SEAT_13,"128'-9 5/16""","8'-5 3/16""","12'-2""",128.7760417,8.432291667,12.16666667,16583.26891,71.10354275,148.0277778,129.6240727,"(128.7760417, 8.432291667000001)",0.0417,0.43525909,0.238479545,Open,,
SEC_126,ROW_L,SEAT_13,"131'-6 5/16""","8'-5 3/16""","13'-5 1/2""",131.5260417,8.432291667,13.45833333,17299.09964,71.10354275,181.1267361,132.4814323,"(131.5260417, 8.432291667000001)",0.0408,0.415455467,0.228127734,Open,,
SEC_126,ROW_M,SEAT_13,"134'-3 5/16""","8'-5 3/16""","14'-9""",134.2760417,8.432291667,14.75,18030.05537,71.10354275,217.5625,135.3466712,"(134.27604169999998, 8.432291667000001)",0.0399,0.395597235,0.217748618,Open,,
SEC_126,ROW_N,SEAT_13,"136'-9 15/16""","8'-5 3/16""","16'-0 1/2""",136.828125,8.432291667,16.04166667,18721.93579,71.10354275,257.3350694,138.0230937,"(136.828125, 8.432291667000001)",0.0392,0.377047641,0.208123821,Open,,
SEC_113,ROW_J,SEAT_03,"-126'-0 5/16""","8'-2 11/16""","10'-10 1/2""",-126.0260417,8.223958333,10.875,15882.56318,67.63349067,118.265625,126.7614385,"(-126.02604170000001, 8.223958332999999)",0.0414,0.45509927,0.248249635,Open,,
SEC_113,ROW_K,SEAT_03,"-128'-9 5/16""","8'-2 11/16""","12'-2""",-128.7760417,8.223958333,12.16666667,16583.26891,67.63349067,148.0277778,129.610687,"(-128.7760417, 8.223958332999999)",0.0406,0.435351863,0.237975932,Open,,
SEC_113,ROW_L,SEAT_03,"-131'-6 5/16""","8'-2 11/16""","13'-5 1/2""",-131.5260417,8.223958333,13.45833333,17299.09964,67.63349067,181.1267361,132.4683353,"(-131.5260417, 8.223958332999999)",0.0398,0.415546239,0.22767312,Open,,
SEC_113,ROW_M,SEAT_03,"-134'-3 5/16""","8'-2 11/16""","14'-9""",-134.2760417,8.223958333,14.75,18030.05537,67.63349067,217.5625,135.3338515,"(-134.27604169999998, 8.223958332999999)",0.0389,0.395686085,0.217293043,Open,,
SEC_113,ROW_N,SEAT_03,"-136'-9 15/16""","8'-2 11/16""","16'-0 1/2""",-136.828125,8.223958333,16.04166667,18721.93579,67.63349067,257.3350694,138.0105226,"(-136.828125, 8.223958332999999)",0.0382,0.377134768,0.207667384,Open,,
SEC_113,ROW_A,SEAT_03,"-103'-2 11/16""","7'-11 7/8""","1'-7""",-103.2239583,7.989583333,1.583333333,10655.18557,63.83344184,2.506944444,103.5448017,"(-103.22395829999999, 7.989583333)",0.0492,0.616007794,0.332603897,Open,,
SEC_113,ROW_B,SEAT_03,"-105'-10 11/16""","7'-11 7/8""","2'-7 1/2""",-105.890625,7.989583333,2.625,11212.82446,63.83344184,6.890625,106.2240487,"(-105.890625, 7.989583333)",0.0479,0.597438624,0.322669312,Open,,
SEC_113,ROW_C,SEAT_03,"-108'-10 11/16""","7'-11 7/8""","3'-8 1/2""",-108.890625,7.989583333,3.708333333,11857.16821,63.83344184,13.75173611,109.2462969,"(-108.890625, 7.989583333)",0.0467,0.576492201,0.311596101,Open,,
SEC_113,ROW_D,SEAT_03,"-111'-8 11/16""","7'-11 7/8""","4'-9 1/2""",-111.7239583,7.989583333,4.791666667,12482.24287,63.83344184,22.96006944,112.1117138,"(-111.72395829999999, 7.989583333)",0.0454,0.556632735,0.301016368,Open,,
SEC_113,ROW_E,SEAT_03,"-114'-6 11/16""","7'-11 7/8""","5'-11 1/2""",-114.5572917,7.989583333,5.958333333,13123.37307,63.83344184,35.50173611,114.9900354,"(-114.55729170000001, 7.989583333)",0.0443,0.53668383,0.290491915,Open,,
SEC_113,ROW_F,SEAT_03,"-117'-4 11/16""","7'-11 7/8""","7'-1 1/2""",-117.390625,7.989583333,7.125,13780.55884,63.83344184,50.765625,117.8777244,"(-117.390625, 7.989583333)",0.0432,0.516670002,0.279935001,Open,,
SEC_113,ROW_G,SEAT_03,"-120'-2 11/16""","7'-11 7/8""","8'-4""",-120.2239583,7.989583333,8.333333333,14453.80016,63.83344184,69.44444444,120.7769765,"(-120.22395829999999, 7.989583333)",0.0422,0.496576033,0.269388017,Open,,
SEC_113,ROW_H,SEAT_03,"-123'-0 11/16""","7'-11 7/8""","9'-7""",-123.0572917,7.989583333,9.583333333,15143.09703,63.83344184,91.84027778,123.6881997,"(-123.05729170000001, 7.989583333)",0.0412,0.476399095,0.258799548,Open,,
SEC_126,ROW_A,SEAT_12,"103'-2 11/16""","7'-11 3/4""","1'-7""",103.2239583,7.979166667,1.583333333,10655.18557,63.66710069,2.506944444,103.5439985,"(103.22395829999999, 7.979166667)",0.0491,0.616013361,0.332556681,Open,,
SEC_126,ROW_B,SEAT_12,"105'-10 11/16""","7'-11 3/4""","2'-7 1/2""",105.890625,7.979166667,2.625,11212.82446,63.66710069,6.890625,106.2232658,"(105.890625, 7.979166667)",0.0479,0.59744405,0.322672025,Open,,
SEC_126,ROW_C,SEAT_12,"108'-10 11/16""","7'-11 3/4""","3'-8 1/2""",108.890625,7.979166667,3.708333333,11857.16821,63.66710069,13.75173611,109.2455356,"(108.890625, 7.979166667)",0.0466,0.576497477,0.311548739,Open,,
